search_date,platform,query,language,screening_result,retained_sources,notes
2026-07-13,Open web and publisher records,"Yuval Harari Jewish Magic before the Rise of Kabbalah biography professor not Yuval Noah Harari",English,included,"Wayne State University Press; Yuval Noah Harari official biography","Confirmed that the scholar of Jewish magic is a different person from the author of Sapiens"
2026-07-13,Open web and institutional repositories,"Sasanian empire Mesopotamia incantation bowls sixth seventh centuries academic history",English,included,"University of Exeter Pre-Islamic Incantation Bowls; Metropolitan Museum Sasanian overview","Used for the empire-to-bowl chronological frame"
2026-07-13,Open web and institutional records,"Schoyen Collection incantation bowls controversy UCL return Iraq court case",English,included,"UCL 2007 statements; Neil Brodie 2008 and 2023; Schøyen Collection statements","Retained opposing documented positions and separated title from provenience"
2026-07-13,Encyclopaedia Iranica and museum/publisher records,"Sasanian Babylonia Jews Mesopotamia 224 651",English,included,"Encyclopaedia Iranica Talmud II; Metropolitan Museum Sasanian overview","Background source cluster; detailed claims still require specialist monographs"
2026-07-13,Cambridge and publisher records,"Sasanian empire Mesopotamia 602 628 war 636 conquest incantation bowls history scholarly",English,included,"Cambridge Journal of the Royal Asiatic Society; UNESCO conquest overview","Used only for broad chronology, not object dating"
2026-07-13,ResearchGate and journal DOI records,"YHBYH incantation bowls tetragrammaton Rivett Wilkinson 2026 PDF",English,included,"Rivett and Wilkinson 2026","Full text screened for the history of the YHWH/YHBYH interpretation"
2026-07-13,Open Book Publishers,"The Bible in the Bowls origins incantation formula sources",English,included,"Waller 2022; Molin 2020","Used to distinguish quotation, allusion, liturgy, oral memory, and local composition"
2026-07-13,Open web and bibliographic indexes,"Mesopotamian incantation bowls origins earlier Mesopotamian magic local traditions biblical liturgy scholarly",English,included,"Waller 2019; Bohak 2008 citation; Morony 2007; reception-of-traditions bibliographic record","Retained with caution: general similarity does not establish direct descent"
2026-07-13,Cambridge University Press,"Babylonian Jews and Sasanian Imperialism 2024 book description",English,included,"Simcha Gross 2024","Added to the historical framework and core bibliography"
2026-07-13,Publisher and repository records,"An Unpublished Syriac Bowl B9002 with a Mandaic Incantation authors DOI 10.1163/17455227-bja10059",English,included,"Simcha Gross and Michele Scarlassara 2025","Corrected author names and retained the multispectral cross-script case"
2026-07-13,Hebrew University research portal,"Babylonian Jewish Society Evidence of the Incantation Bowls authors",English,included,"Simcha Gross and Avigail Manekin-Bamberger 2022","Corrected author names and retained the learned-overlap argument"
2026-07-13,Freie Universität Berlin repository,"Who Wrote the Incantation Bowls Kedar author",English,included,"Dorit Kedar 2019","Corrected the author's name and retained the female-authorship argument as a disputed position"
2026-07-13,Hebrew University research portal,"Jewish Legal Formulae in the Aramaic Incantation Bowls author",English,included,"Avigail Manekin-Bamberger 2015","Corrected the author's name and used the article for the legal-speech synthesis"
2026-07-13,IxTheo and Hebrew University records,"Magic Formulae and Women's History author 2025",English,included,"Avigail Manekin-Bamberger 2025","Verified the response to female-authorship claims and the formula-history method"
